x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
-251.969,82.6457,1.00938,-1.27749e-21,-3.5795e-21,-9.30881e-20,1.00938,-1.84535e-19,6.91922e-20,-9.54613e-20,1.00938
-251.969,86.6772,1.00931,-1.2201e-21,-3.46694e-21,-9.00854e-20,1.00931,-1.78589e-19,6.61618e-20,-9.23414e-20,1.00931
-251.969,90.7087,1.00924,-1.16553e-21,-3.35785e-21,-8.718e-20,1.00924,-1.72835e-19,6.32728e-20,-8.93249e-20,1.00924
-251.969,94.7402,1.00917,-1.11361e-21,-3.25213e-21,-8.43692e-20,1.00917,-1.67269e-19,6.05186e-20,-8.64088e-20,1.00917
-251.969,98.7717,1.0091,-1.06422e-21,-3.14971e-21,-8.16504e-20,1.0091,-1.61884e-19,5.78926e-20,-8.35903e-20,1.0091
-251.969,102.803,1.00904,-1.01723e-21,-3.05051e-21,-7.9021e-20,1.00904,-1.56676e-19,5.53888e-20,-8.08665e-20,1.00904
-251.969,106.835,1.00897,-9.72514e-22,-2.95443e-21,-7.64786e-20,1.00897,-1.5164e-19,5.30013e-20,-7.82343e-20,1.00897
-251.969,110.866,1.00891,-9.29954e-22,-2.86141e-21,-7.40204e-20,1.00891,-1.46771e-19,5.07245e-20,-7.56913e-20,1.00891
-251.969,114.898,1.00884,-8.89442e-22,-2.77139e-21,-7.1644e-20,1.00884,-1.42064e-19,4.8553e-20,-7.32344e-20,1.00884
-251.969,118.929,1.00878,-8.50841e-22,-2.68422e-21,-6.9347e-20,1.00878,-1.37513e-19,4.64819e-20,-7.0861e-20,1.00878
-251.969,122.961,1.00871,-8.14115e-22,-2.59988e-21,-6.71268e-20,1.00871,-1.33115e-19,4.45062e-20,-6.85684e-20,1.00871
-251.969,126.992,1.00865,-7.79127e-22,-2.51827e-21,-6.49811e-20,1.00865,-1.28864e-19,4.26215e-20,-6.63541e-20,1.00865
-251.969,131.024,1.00859,-7.45784e-22,-2.43929e-21,-6.29075e-20,1.00859,-1.24756e-19,4.08232e-20,-6.42154e-20,1.00859
-251.969,135.055,1.00853,-7.14051e-22,-2.36291e-21,-6.09039e-20,1.00853,-1.20787e-19,3.91073e-20,-6.21499e-20,1.00853
-251.969,139.087,1.00847,-6.83776e-22,-2.289e-21,-5.89677e-20,1.00847,-1.16951e-19,3.74698e-20,-6.01552e-20,1.00847
-251.969,143.118,1.00841,-6.54931e-22,-2.21751e-21,-5.7097e-20,1.00841,-1.13244e-19,3.5907e-20,-5.82289e-20,1.00841
-251.969,147.15,1.00835,-6.27437e-22,-2.14842e-21,-5.52895e-20,1.00835,-1.09663e-19,3.44151e-20,-5.63686e-20,1.00835
-251.969,151.181,1.00829,-6.0122e-22,-2.08154e-21,-5.35432e-20,1.00829,-1.06202e-19,3.29909e-20,-5.45722e-20,1.00829
-251.969,155.213,1.00823,-5.76233e-22,-2.01686e-21,-5.1856e-20,1.00823,-1.02859e-19,3.16311e-20,-5.28375e-20,1.00823
-251.969,159.244,1.00818,-5.52379e-22,-1.95435e-21,-5.02259e-20,1.00818,-9.96288e-20,3.03325e-20,-5.11623e-20,1.00818
-251.969,163.276,1.00812,-5.29623e-22,-1.89388e-21,-4.86511e-20,1.00812,-9.6508e-20,2.90924e-20,-4.95445e-20,1.00812
-251.969,167.307,1.00807,-5.07919e-22,-1.8354e-21,-4.71296e-20,1.00807,-9.34928e-20,2.79078e-20,-4.79823e-20,1.00807
-251.969,171.339,1.00801,-4.87189e-22,-1.77886e-21,-4.56596e-20,1.00801,-9.05796e-20,2.67761e-20,-4.64737e-20,1.00801
-251.969,175.37,1.00796,-4.67422e-22,-1.72419e-21,-4.42395e-20,1.00796,-8.7765e-20,2.56948e-20,-4.50167e-20,1.00796
-251.969,179.402,1.0079,-4.48546e-22,-1.67135e-21,-4.28673e-20,1.0079,-8.50455e-20,2.46615e-20,-4.36096e-20,1.0079
-251.969,183.433,1.00785,-4.30523e-22,-1.62024e-21,-4.15416e-20,1.00785,-8.24179e-20,2.3674e-20,-4.22507e-20,1.00785
-251.969,187.465,1.0078,-4.13303e-22,-1.5708e-21,-4.02607e-20,1.0078,-7.9879e-20,2.273e-20,-4.09382e-20,1.0078
-251.969,191.496,1.00774,-3.96832e-22,-1.52303e-21,-3.9023e-20,1.00774,-7.74257e-20,2.18275e-20,-3.96704e-20,1.00774
-251.969,195.528,1.00769,-3.81117e-22,-1.47682e-21,-3.7827e-20,1.00769,-7.50551e-20,2.09646e-20,-3.84459e-20,1.00769
