x,z,K00,K01,K02,K10,K11,K12,K20,K21,K22
-251.969,34.2677,1.13974e-10,2.26103e-15,5.25253e-15,1.38325e-13,1.23033e-11,2.74083e-13,3.84519e-10,1.42752e-13,-6.10561e-12
-251.969,38.2992,1.11403e-10,2.1548e-15,5.09225e-15,1.33937e-13,1.30782e-11,2.654e-13,3.81013e-10,1.38139e-13,-7.01983e-12
-251.969,42.3307,1.08894e-10,2.05388e-15,4.93617e-15,1.29674e-13,1.3795e-11,2.56965e-13,3.77484e-10,1.33664e-13,-7.87269e-12
-251.969,46.3622,1.06446e-10,1.95801e-15,4.78424e-15,1.25536e-13,1.44568e-11,2.48775e-13,3.73937e-10,1.29323e-13,-8.66718e-12
-251.969,50.3937,1.04058e-10,1.8669e-15,4.63642e-15,1.2152e-13,1.50662e-11,2.40826e-13,3.70376e-10,1.25116e-13,-9.4062e-12
-251.969,54.4252,1.01728e-10,1.78035e-15,4.4927e-15,1.17624e-13,1.56261e-11,2.33115e-13,3.66805e-10,1.21038e-13,-1.00925e-11
-251.969,58.4567,9.94552e-11,1.6981e-15,4.35301e-15,1.13846e-13,1.6139e-11,2.25636e-13,3.63226e-10,1.17088e-13,-1.07288e-11
-251.969,62.4882,9.72388e-11,1.61994e-15,4.21731e-15,1.10184e-13,1.66075e-11,2.18386e-13,3.59644e-10,1.13263e-13,-1.13176e-11
-251.969,66.5197,9.50771e-11,1.54567e-15,4.08554e-15,1.06635e-13,1.70338e-11,2.11361e-13,3.56062e-10,1.0956e-13,-1.18614e-11
-251.969,70.5512,9.29691e-11,1.47505e-15,3.9576e-15,1.03198e-13,1.74205e-11,2.04554e-13,3.52483e-10,1.05976e-13,-1.23625e-11
-251.969,74.5827,9.09133e-11,1.40794e-15,3.83345e-15,9.98681e-14,1.77695e-11,1.97962e-13,3.48909e-10,1.02508e-13,-1.28232e-11
-251.969,78.6142,8.89087e-11,1.34415e-15,3.71306e-15,9.66445e-14,1.8083e-11,1.91579e-13,3.45342e-10,9.91531e-14,-1.32457e-11
-251.969,82.6457,8.6954e-11,1.28347e-15,3.59626e-15,9.3524e-14,1.83631e-11,1.85399e-13,3.41786e-10,9.59083e-14,-1.3632e-11
-251.969,86.6772,8.50481e-11,1.22577e-15,3.48306e-15,9.05041e-14,1.86116e-11,1.79419e-13,3.38243e-10,9.27706e-14,-1.39841e-11
-251.969,90.7087,8.31897e-11,1.1709e-15,3.37335e-15,8.75822e-14,1.88303e-11,1.73633e-13,3.34714e-10,8.9737e-14,-1.43039e-11
-251.969,94.7402,8.13777e-11,1.11871e-15,3.26702e-15,8.47556e-14,1.9021e-11,1.68035e-13,3.31202e-10,8.68046e-14,-1.45932e-11
-251.969,98.7717,7.9611e-11,1.06906e-15,3.16403e-15,8.20216e-14,1.91854e-11,1.6262e-13,3.27707e-10,8.39703e-14,-1.48537e-11
-251.969,102.803,7.78884e-11,1.02182e-15,3.06428e-15,7.93777e-14,1.9325e-11,1.57383e-13,3.24233e-10,8.12314e-14,-1.5087e-11
-251.969,106.835,7.62089e-11,9.7687e-16,2.96766e-15,7.68212e-14,1.94413e-11,1.5232e-13,3.2078e-10,7.85849e-14,-1.52946e-11
-251.969,110.866,7.45713e-11,9.34089e-16,2.87414e-15,7.43496e-14,1.95357e-11,1.47424e-13,3.1735e-10,7.60279e-14,-1.54782e-11
-251.969,114.898,7.29747e-11,8.93368e-16,2.78363e-15,7.19604e-14,1.96097e-11,1.42691e-13,3.13943e-10,7.35578e-14,-1.5639e-11
-251.969,118.929,7.14178e-11,8.54572e-16,2.69599e-15,6.9651e-14,1.96644e-11,1.38116e-13,3.10562e-10,7.11717e-14,-1.57785e-11
-251.969,122.961,6.98998e-11,8.1766e-16,2.61119e-15,6.7419e-14,1.97011e-11,1.33695e-13,3.07207e-10,6.88669e-14,-1.58978e-11
-251.969,126.992,6.84196e-11,7.82495e-16,2.52915e-15,6.52619e-14,1.97209e-11,1.29421e-13,3.03878e-10,6.66408e-14,-1.59983e-11
-251.969,131.024,6.69763e-11,7.48982e-16,2.44975e-15,6.31775e-14,1.9725e-11,1.25292e-13,3.00578e-10,6.4491e-14,-1.60809e-11
-251.969,135.055,6.55688e-11,7.17095e-16,2.37297e-15,6.11633e-14,1.97144e-11,1.21301e-13,2.97307e-10,6.24147e-14,-1.6147e-11
-251.969,139.087,6.41963e-11,6.86669e-16,2.29868e-15,5.92172e-14,1.969e-11,1.17445e-13,2.94065e-10,6.04097e-14,-1.61974e-11
-251.969,143.118,6.28578e-11,6.57682e-16,2.22683e-15,5.73368e-14,1.96529e-11,1.1372e-13,2.90853e-10,5.84735e-14,-1.62332e-11
-251.969,147.15,6.15524e-11,6.30055e-16,2.15738e-15,5.55201e-14,1.96038e-11,1.1012e-13,2.87672e-10,5.66038e-14,-1.62552e-11
-251.969,151.181,6.02793e-11,6.03711e-16,2.09016e-15,5.3765e-14,1.95437e-11,1.06642e-13,2.84521e-10,5.47982e-14,-1.62644e-11
-251.969,155.213,5.90376e-11,5.78604e-16,2.02515e-15,5.20693e-14,1.94733e-11,1.03282e-13,2.81402e-10,5.30548e-14,-1.62617e-11
-251.969,159.244,5.78265e-11,5.54637e-16,1.96233e-15,5.04311e-14,1.93933e-11,1.00036e-13,2.78315e-10,5.13713e-14,-1.62477e-11
-251.969,163.276,5.66451e-11,5.3177e-16,1.90156e-15,4.88485e-14,1.93045e-11,9.68995e-14,2.75261e-10,4.97455e-14,-1.62232e-11
-251.969,167.307,5.54927e-11,5.09966e-16,1.84279e-15,4.73195e-14,1.92075e-11,9.38694e-14,2.72238e-10,4.81756e-14,-1.61891e-11
-251.969,171.339,5.43684e-11,4.89139e-16,1.78598e-15,4.58423e-14,1.9103e-11,9.0942e-14,2.69248e-10,4.66596e-14,-1.61458e-11
-251.969,175.37,5.32716e-11,4.6928e-16,1.73105e-15,4.44153e-14,1.89915e-11,8.81137e-14,2.66291e-10,4.51956e-14,-1.60941e-11
-251.969,179.402,5.22015e-11,4.50317e-16,1.67794e-15,4.30365e-14,1.88737e-11,8.53812e-14,2.63367e-10,4.37818e-14,-1.60346e-11
-251.969,183.433,5.11574e-11,4.32209e-16,1.62659e-15,4.17045e-14,1.875e-11,8.2741e-14,2.60476e-10,4.24163e-14,-1.59677e-11
-251.969,187.465,5.01386e-11,4.14911e-16,1.57692e-15,4.04175e-14,1.86209e-11,8.01901e-14,2.57618e-10,4.10976e-14,-1.58942e-11
-251.969,191.496,4.91445e-11,3.98368e-16,1.52892e-15,3.91739e-14,1.84869e-11,7.77252e-14,2.54793e-10,3.98239e-14,-1.58144e-11
-251.969,195.528,4.81742e-11,3.82581e-16,1.4825e-15,3.79723e-14,1.83484e-11,7.53435e-14,2.52e-10,3.85936e-14,-1.57288e-11
-251.969,199.559,4.72273e-11,3.675e-16,1.43761e-15,3.68113e-14,1.8206e-11,7.3042e-14,2.49241e-10,3.74053e-14,-1.56379e-11
-251.969,203.591,4.63031e-11,3.53084e-16,1.39421e-15,3.56893e-14,1.80598e-11,7.08179e-14,2.46515e-10,3.62573e-14,-1.55422e-11
-251.969,207.622,4.5401e-11,3.3929e-16,1.35223e-15,3.46051e-14,1.79104e-11,6.86685e-14,2.43821e-10,3.51484e-14,-1.54419e-11
-251.969,211.654,4.45203e-11,3.26102e-16,1.31164e-15,3.35572e-14,1.7758e-11,6.65912e-14,2.4116e-10,3.4077e-14,-1.53376e-11
-251.969,215.685,4.36606e-11,3.135e-16,1.2724e-15,3.25444e-14,1.76031e-11,6.45835e-14,2.38532e-10,3.30419e-14,-1.52295e-11
-251.969,219.717,4.28212e-11,3.01421e-16,1.23444e-15,3.15655e-14,1.74458e-11,6.26428e-14,2.35936e-10,3.20417e-14,-1.51179e-11
-251.969,223.748,4.20017e-11,2.89873e-16,1.19772e-15,3.06193e-14,1.72865e-11,6.07669e-14,2.33372e-10,3.10752e-14,-1.50033e-11
-251.969,227.78,4.12014e-11,2.78827e-16,1.16222e-15,2.97047e-14,1.71254e-11,5.89534e-14,2.3084e-10,3.01411e-14,-1.48858e-11
-251.969,231.811,4.04199e-11,2.68275e-16,1.12789e-15,2.88204e-14,1.69628e-11,5.72001e-14,2.28339e-10,2.92384e-14,-1.47659e-11
-251.969,235.843,3.96567e-11,2.58146e-16,1.09466e-15,2.79655e-14,1.6799e-11,5.55051e-14,2.2587e-10,2.8366e-14,-1.46436e-11
-251.969,239.874,2.3893e-11,2.4843e-16,1.06253e-15,2.71389e-14,1.61582e-12,5.38661e-14,2.23433e-10,2.75226e-14,-4.4556e-11
-251.969,243.906,2.48444e-10,2.39162e-16,1.03141e-15,2.63396e-14,2.26729e-10,5.22811e-14,2.21026e-10,2.67073e-14,4.06128e-10
-251.969,247.937,-5.04178e-10,2.30269e-16,-3.19164e-14,2.55667e-14,-5.25348e-10,-1.66149e-12,2.36546e-10,-1.687e-12,-1.09755e-09
-251.969,251.969,-1.12893e-09,2.2176e-16,4.47759e-16,2.68357e-14,-1.14957e-09,2.26278e-14,1.08733e-10,-2.11123e-15,-2.36729e-09
-251.969,256,0,0,0,0,0,0,0,0,0
