i,j,r,theta,Gamma3_0_0_0,Gamma3_0_0_1,Gamma3_0_0_2,Gamma3_0_1_0,Gamma3_0_1_1,Gamma3_0_1_2,Gamma3_0_2_0,Gamma3_0_2_1,Gamma3_0_2_2,Gamma3_1_0_0,Gamma3_1_0_1,Gamma3_1_0_2,Gamma3_1_1_0,Gamma3_1_1_1,Gamma3_1_1_2,Gamma3_1_2_0,Gamma3_1_2_1,Gamma3_1_2_2,Gamma3_2_0_0,Gamma3_2_0_1,Gamma3_2_0_2,Gamma3_2_1_0,Gamma3_2_1_1,Gamma3_2_1_2,Gamma3_2_2_0,Gamma3_2_2_1,Gamma3_2_2_2
1,29,2.08,0.911062,-0.66764,0.0846567,-0.0846567,-0.0846567,0.438577,0.438577,0.438577,0.438577,0.261326,-0.0867029,0.449178,-0.449178,-0.449178,-0.0846567,-0.0846567,-0.0846567,-0.0846567,0.636948,0,0,0,0,0,0,0,0,0
1,30,2.08,0.942478,-0.665206,0.0835657,-0.0835657,-0.0835657,0.440904,0.440904,0.440904,0.440904,0.274535,-0.0855856,0.451561,-0.451561,-0.451561,-0.0835657,-0.0835657,-0.0835657,-0.0835657,0.634344,0,0,0,0,0,0,0,0,0
1,31,2.08,0.973894,-0.662796,0.0821227,-0.0821227,-0.0821227,0.443207,0.443207,0.443207,0.443207,0.28751,-0.0841077,0.45392,-0.45392,-0.45392,-0.0821227,-0.0821227,-0.0821227,-0.0821227,0.628872,0,0,0,0,0,0,0,0,0
1,32,2.08,1.00531,-0.660421,0.0803284,-0.0803284,-0.0803284,0.445477,0.445477,0.445477,0.445477,0.300194,-0.08227,0.456244,-0.456244,-0.456244,-0.0803284,-0.0803284,-0.0803284,-0.0803284,0.620443,0,0,0,0,0,0,0,0,0
1,33,2.08,1.03673,-0.658091,0.0781852,-0.0781852,-0.0781852,0.447703,0.447703,0.447703,0.447703,0.31253,-0.080075,0.458525,-0.458525,-0.458525,-0.0781852,-0.0781852,-0.0781852,-0.0781852,0.608984,0,0,0,0,0,0,0,0,0
1,34,2.08,1.06814,-0.655818,0.0756975,-0.0756975,-0.0756975,0.449875,0.449875,0.449875,0.449875,0.324465,-0.0775271,0.460749,-0.460749,-0.460749,-0.0756975,-0.0756975,-0.0756975,-0.0756975,0.594443,0,0,0,0,0,0,0,0,0
1,35,2.08,1.09956,-0.653614,0.0728714,-0.0728714,-0.0728714,0.451982,0.451982,0.451982,0.451982,0.335946,-0.0746327,0.462907,-0.462907,-0.462907,-0.0728714,-0.0728714,-0.0728714,-0.0728714,0.576788,0,0,0,0,0,0,0,0,0
1,36,2.08,1.13097,-0.651488,0.0697151,-0.0697151,-0.0697151,0.454013,0.454013,0.454013,0.454013,0.346924,-0.0714001,0.464987,-0.464987,-0.464987,-0.0697151,-0.0697151,-0.0697151,-0.0697151,0.55601,0,0,0,0,0,0,0,0,0
1,37,2.08,1.16239,-0.649453,0.0662388,-0.0662388,-0.0662388,0.455959,0.455959,0.455959,0.455959,0.357352,-0.0678398,0.466979,-0.466979,-0.466979,-0.0662388,-0.0662388,-0.0662388,-0.0662388,0.532127,0,0,0,0,0,0,0,0,0
1,38,2.08,1.19381,-0.647518,0.0624546,-0.0624546,-0.0624546,0.457808,0.457808,0.457808,0.457808,0.367185,-0.0639642,0.468873,-0.468873,-0.468873,-0.0624546,-0.0624546,-0.0624546,-0.0624546,0.505185,0,0,0,0,0,0,0,0,0
