x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
-159.244,6.04724,10.5714,9.34723e-08,-1.66847e-07,1.83557e-07,10.5714,4.18062e-07,1.03407e-07,4.18062e-07,10.5714
-159.244,10.0787,10.5474,7.00205e-08,-4.54911e-07,1.60822e-07,10.5473,4.12638e-07,-9.01101e-10,4.12638e-07,10.5473
-159.244,14.1102,10.5115,4.32062e-08,-7.51557e-07,1.3508e-07,10.5115,4.07345e-07,-1.08442e-07,4.07345e-07,10.5115
-159.244,18.1417,10.4643,1.37718e-08,-1.05679e-06,1.07066e-07,10.4642,4.02342e-07,-2.17138e-07,4.02342e-07,10.4642
-159.244,22.1732,10.4059,-1.75043e-08,-1.37041e-06,7.75524e-08,10.4058,3.97727e-07,-3.24779e-07,3.97727e-07,10.4059
-159.244,26.2047,10.3369,-4.98323e-08,-1.69208e-06,4.73201e-08,10.3368,3.93532e-07,-4.29091e-07,3.93532e-07,10.3368
-159.244,30.2362,10.2577,-8.24346e-08,-2.02138e-06,1.71357e-08,10.2577,3.89732e-07,-5.27815e-07,3.89732e-07,10.2577
-159.244,34.2677,10.1691,-1.14569e-07,-2.35784e-06,-1.22717e-08,10.1691,3.86253e-07,-6.18778e-07,3.86252e-07,10.1691
-159.244,38.2992,10.0716,-1.45548e-07,-2.70101e-06,-4.02305e-08,10.0716,3.82975e-07,-6.9996e-07,3.82975e-07,10.0716
-159.244,42.3307,9.96593,-1.74759e-07,-3.05048e-06,-6.61449e-08,9.9659,3.79753e-07,-7.69552e-07,3.79753e-07,9.9659
-159.244,46.3622,9.85279,-2.01676e-07,-3.4059e-06,-8.95081e-08,9.85277,3.76419e-07,-8.26007e-07,3.76419e-07,9.85277
-159.244,50.3937,9.73293,-2.25869e-07,-3.76703e-06,-1.09913e-07,9.7329,3.728e-07,-8.6807e-07,3.72799e-07,9.73291
-159.244,54.4252,9.60708,-2.47013e-07,-4.13372e-06,-1.27055e-07,9.60705,3.68723e-07,-8.94801e-07,3.68722e-07,9.60706
-159.244,58.4567,9.47598,-2.64885e-07,-4.50589e-06,-1.40738e-07,9.47596,3.64031e-07,-9.05576e-07,3.6403e-07,9.47596
-159.244,62.4882,9.34037,-2.79363e-07,-4.88355e-06,-1.50866e-07,9.34034,3.58585e-07,-9.0008e-07,3.58585e-07,9.34035
-159.244,66.5197,9.20095,-2.90422e-07,-5.26674e-06,-1.57441e-07,9.20092,3.52275e-07,-8.78289e-07,3.52274e-07,9.20092
-159.244,70.5512,9.05841,-2.98121e-07,-5.65552e-06,-1.60549e-07,9.05838,3.45019e-07,-8.40437e-07,3.45019e-07,9.05838
-159.244,74.5827,8.9134,-3.02595e-07,-6.04995e-06,-1.60355e-07,8.91337,3.36771e-07,-7.86983e-07,3.3677e-07,8.91338
-159.244,78.6142,8.76655,-3.04041e-07,-6.45002e-06,-1.57083e-07,8.76652,3.27513e-07,-7.18567e-07,3.27512e-07,8.76653
-159.244,82.6457,8.61844,-3.02706e-07,-6.85568e-06,-1.51008e-07,8.61841,3.17264e-07,-6.35973e-07,3.17263e-07,8.61842
-159.244,86.6772,8.46962,-2.98872e-07,-7.26676e-06,-1.4244e-07,8.46959,3.06069e-07,-5.40087e-07,3.06068e-07,8.4696
-159.244,90.7087,8.32057,-2.92845e-07,-7.68299e-06,-1.31712e-07,8.32055,2.93998e-07,-4.3186e-07,2.93997e-07,8.32055
-159.244,94.7402,8.17177,-2.84943e-07,-8.10397e-06,-1.19165e-07,8.17175,2.81145e-07,-3.12273e-07,2.81143e-07,8.17175
-159.244,98.7717,8.02363,-2.75484e-07,-8.52918e-06,-1.05142e-07,8.0236,2.67617e-07,-1.82316e-07,2.67616e-07,8.02361
-159.244,102.803,7.87652,-2.6478e-07,-8.95797e-06,-8.99783e-08,7.87649,2.53535e-07,-4.296e-08,2.53534e-07,7.8765
-159.244,106.835,7.73077,-2.53128e-07,-9.38958e-06,-7.39903e-08,7.73074,2.39028e-07,1.04858e-07,2.39027e-07,7.73075
-159.244,110.866,7.58668,-2.40806e-07,-9.82313e-06,-5.7474e-08,7.58665,2.24224e-07,2.60243e-07,2.24223e-07,7.58666
-159.244,114.898,7.44451,-2.28066e-07,-1.02577e-05,-4.06989e-08,7.44448,2.09255e-07,4.22352e-07,2.09254e-07,7.44449
-159.244,118.929,7.30447,-2.15135e-07,-1.06922e-05,-2.39063e-08,7.30444,1.94245e-07,5.90397e-07,1.94244e-07,7.30446
-159.244,122.961,7.16676,-2.02212e-07,-1.11257e-05,-7.30742e-09,7.16674,1.79313e-07,7.63642e-07,1.79312e-07,7.16675
-159.244,126.992,7.03154,-1.89467e-07,-1.15569e-05,8.91671e-09,7.03151,1.64568e-07,9.41404e-07,1.64567e-07,7.03153
-159.244,131.024,6.89893,-1.77044e-07,-1.19848e-05,2.46144e-08,6.89891,1.50109e-07,1.12305e-06,1.50108e-07,6.89892
-159.244,135.055,6.76905,-1.65058e-07,-1.24084e-05,3.9662e-08,6.76903,1.36024e-07,1.30798e-06,1.36023e-07,6.76904
-159.244,139.087,6.64197,-1.53604e-07,-1.28265e-05,5.39624e-08,6.64195,1.22388e-07,1.49565e-06,1.22388e-07,6.64196
-159.244,143.118,6.51776,-1.42749e-07,-1.32381e-05,6.74424e-08,6.51774,1.09264e-07,1.68554e-06,1.09264e-07,6.51775
-159.244,147.15,6.39646,-1.32544e-07,-1.36423e-05,8.00504e-08,6.39644,9.67041e-08,1.87715e-06,9.67033e-08,6.39645
-159.244,151.181,6.2781,-1.23021e-07,-1.40382e-05,9.1754e-08,6.27808,8.47469e-08,2.07003e-06,8.47462e-08,6.27809
-159.244,155.213,6.16268,-1.14197e-07,-1.44249e-05,1.02538e-07,6.16266,7.34221e-08,2.26373e-06,7.34214e-08,6.16267
-159.244,159.244,6.05021,-1.06074e-07,-1.48017e-05,1.124e-07,6.05019,6.27488e-08,2.45783e-06,6.27482e-08,6.0502
-159.244,163.276,5.94066,-9.86467e-08,-1.51679e-05,1.21351e-07,5.94064,5.27372e-08,2.65193e-06,5.27366e-08,5.94066
-159.244,167.307,5.83403,-9.18975e-08,-1.5523e-05,1.29411e-07,5.83401,4.33896e-08,2.84564e-06,4.33891e-08,5.83403
-159.244,171.339,5.73027,-8.58035e-08,-1.58665e-05,1.36608e-07,5.73025,3.47015e-08,3.03859e-06,3.4701e-08,5.73027
-159.244,175.37,5.62935,-8.03359e-08,-1.61979e-05,1.42977e-07,5.62933,2.66621e-08,3.23043e-06,2.66617e-08,5.62935
-159.244,179.402,5.53123,-7.5462e-08,-1.65169e-05,1.48556e-07,5.53121,1.92559e-08,3.42081e-06,1.92556e-08,5.53123
-159.244,183.433,5.43584,-7.11465e-08,-1.68232e-05,1.53387e-07,5.43582,1.24632e-08,3.60943e-06,1.24629e-08,5.43584
-159.244,187.465,5.34315,-6.73521e-08,-1.71167e-05,1.57515e-07,5.34313,6.261e-09,3.79596e-06,6.26071e-09,5.34315
-159.244,191.496,5.25308,-6.4041e-08,-1.73973e-05,1.60984e-07,5.25306,6.23804e-10,3.98011e-06,6.23547e-10,5.25308
-159.244,195.528,5.16559,-6.1175e-08,-1.76649e-05,1.6384e-07,5.16557,-4.47573e-09,4.16163e-06,-4.47595e-09,5.16559
-159.244,199.559,5.0806,-5.87167e-08,-1.79194e-05,1.66128e-07,5.08058,-9.06618e-09,4.34024e-06,-9.06638e-09,5.0806
-159.244,203.591,4.99806,-5.66295e-08,-1.8161e-05,1.67892e-07,4.99804,-1.31769e-08,4.51572e-06,-1.3177e-08,4.99806
-159.244,207.622,4.91789,-5.48782e-08,-1.83897e-05,1.69175e-07,4.91788,-1.68374e-08,4.68785e-06,-1.68376e-08,4.91789
-159.244,211.654,4.84004,-5.34292e-08,-1.86057e-05,1.70019e-07,4.84003,-2.00773e-08,4.85642e-06,-2.00774e-08,4.84005
